id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Armor_1071_Lower,Pantalón de la ventisca,Frostbite Trousers,Pantalon du blizzard,눈보라의 바지,吹雪のズボン,Штаны метели,Sneeuwstormbroek,Pantaloni della bufera,Schneesturmhose,暴风雪裤子,暴風雪褲子,Pantalon du blizzard,Pantalón de la ventisca,Frostbite Trousers
Armor_1071_Upper,Túnica de la ventisca,Frostbite Shirt,Robe du blizzard,눈보라의 옷,吹雪の服,Облачение метели,Sneeuwstormhemd,Veste della bufera,Schneesturmtunika,暴风雪服,暴風雪服,Robe du blizzard,Túnica de la ventisca,Frostbite Shirt
Armor_1076_Head,Sombrero de Sogene,Cece Hat,Chapeau de Goutiée,사고노 해트,サゴノハット,Шапо Сагоно,Cece-hoed,Cappello Sagono,Sagono Deluxe,萨格诺帽子,薩格諾帽子,Chapeau de Goutiée,Sombrero de Sogene,Cece Hat
Armor_1086_Head,Tocado de los espíritus,Mystic Headpiece,Coiffe des esprits,정령의 가발,精霊のかしら,Грива духов,Geestenhoofdtooi,Copricapo degli spiriti,Geisterkopfschmuck,精灵头帽,精靈頭帽,Coiffe des esprits,Tocado de los espíritus,Mystic Headpiece
Armor_1086_Lower,Pantalón de los espíritus,Mystic Trousers,Chausses des esprits,정령의 하의,精霊の袴,Поножи духов,Geestenbroek,Pantaloni degli spiriti,Geister-Hakama,精灵裤,精靈褲,Chausses des esprits,Pantalón de los espíritus,Mystic Trousers
Armor_1086_Upper,Túnica de los espíritus,Mystic Robe,Tunique des esprits,정령의 상의,精霊の衣,Доспехи духов,Geestentuniek,Tunica degli spiriti,Geistergewand,精灵服,精靈服,Tunique des esprits,Túnica de los espíritus,Mystic Robe
Armor_1091_Head,Casco de zonnanio,Zonaite Helm,Casque de sonium,조나니움 투구,ゾナニウムの兜,Зонаровый шлем,Zonanium helm,Elmo di zonanio,Sonanium-Helm,左纳尼乌姆之头盔,左納尼烏姆之頭盔,Casque de sonium,Casco de zonnanio,Zonaite Helm
Armor_1091_Lower,Grebas de zonnanio,Zonaite Shin Guards,Genouillères de sonium,조나니움 무릎 보호대,ゾナニウムの膝当て,Зонаровые поножи,Zonanium kniebeschermers,Ginocchiere di zonanio,Sonanium-Knieschützer,左纳尼乌姆之护膝,左納尼烏姆之護膝,Genouillères de sonium,Grebas de zonnanio,Zonaite Shin Guards
Armor_1091_Upper,Loriga de zonnanio,Zonaite Waistguard,Flancart de sonium,조나니움 가슴 보호대,ゾナニウムの前垂れ,Зонаровое облачение,Zonanium outfit,Lorica di zonanio,Sonanium-Rüstung,左纳尼乌姆之前挂,左納尼烏姆之前掛,Flancart de sonium,Loriga de zonnanio,Zonaite Waistguard
Armor_1096_Head,Máscara del Despertar,Mask of Awakening,Masque du rêve,꿈꾸는 용사의 가면,夢見の勇者の面,Маска Пробуждения,Droommasker,Maschera del risveglio,Erwachensmaske,织梦之勇者面具,織夢之勇者面具,Masque du rêve,Máscara del Despertar,Mask of Awakening
Armor_1096_Lower,Pantalón del Despertar,Trousers of Awakening,Chausses du rêve,꿈꾸는 용사의 바지,夢見の勇者ズボン,Трико Пробуждения,Droombroek,Pantaloni del risveglio,Erwachenshose,织梦之勇者裤子,織夢之勇者褲子,Chausses du rêve,Pantalón del Despertar,Trousers of Awakening
Armor_1096_Upper,Túnica del Despertar,Tunic of Awakening,Tunique du rêve,꿈꾸는 용사의 옷,夢見の勇者服,Туника Пробуждения,Droomkostuum,Tunica del risveglio,Erwachensgewand,织梦之勇者服,織夢之勇者服,Tunique du rêve,Túnica del Despertar,Tunic of Awakening
Armor_1106_Upper,Nueva túnica de campeón,Champion's Leathers,Nouvelle tunique de Prodige,신식·영걸의 옷,新式・英傑の服,Новая туника Воина,Nieuw Hemd der Uitverkorenen,Nuova tunica del campione,Neues Reckengewand,新式·英杰服,新式‧英傑服,Nouvelle tunique de Prodige,Nueva túnica del elegido,Champion's Leathers
Armor_1125_Head,Máscara de horroblin,Horriblin Mask,Masque de Trogloblin,호러블린 마스크,ホラブリンマスク,Голова хорроблина,Horriblin-masker,Maschera da obbroblin,Horrorblin-Maske,霍拉布林面罩,霍拉布林面罩,Masque de Trogloblin,Máscara de horroblin,Horriblin Mask
Armor_1141_Head,Capucha de las tinieblas,Hood of the Depths,Capuche des ténèbres,어둠의 두건,暗闇の頭巾,Капюшон мрака,Duisterniskap,Cappuccio delle tenebre,Kapuze der Finsternis,暗黑头巾,暗黑頭巾,Capuche des ténèbres,Capucha de las tinieblas,Hood of the Depths
Armor_1141_Lower,Grebas de las tinieblas,Gaiters of the Depths,Guêtres des ténèbres,어둠의 각반,暗闇の脚絆,Поножи мрака,Duisternisbeenkappen,Ghette delle tenebre,Gamaschen der Finsternis,暗黑绑腿,暗黑綁腿,Guêtres des ténèbres,Grebas de las tinieblas,Gaiters of the Depths
Armor_1141_Upper,Túnica de las tinieblas,Tunic of the Depths,Tunique des ténèbres,어둠의 옷,暗闇の衣,Туника мрака,Duisternistuniek,Tunica delle tenebre,Gewand der Finsternis,暗黑服,暗黑服,Tunique des ténèbres,Túnica de las tinieblas,Tunic of the Depths
Armor_1151_Head,Coletero viejo,Well-Worn Hair Band,Vieil anneau capillaire,낡은 머리 장식,古びた髪留め,Старое колечко для волос,Afgedragen haaraccessoire,Vecchio nastro,Altes Haarband,残旧的发夹,殘舊的髮夾,Vieil anneau capillaire,Coletero viejo,Well-Worn Hair Band
Armor_1152_Head,Capucha hyliana,Hylian Hood,Capuche Hylienne,하일리아의 후드,ハイリアのフード,Хайлийский капюшон,Hyliaanse kap,Cappuccio Hylia,Hylia-Kapuze,海利亚兜帽,海利亞兜帽,Capuche hylienne,Capucha hyliana,Hylian Hood
Armor_115_Head,Casco antitrueno,Lightning Helm,Masque anti-tonnerre,호뢰의 투구,護雷の兜,Шлем-громоотвод,Bliksemafweerhelm,Elmo scacciatuono,Blitzschutzhelm,护雷头盔,護雷頭盔,Masque anti-tonnerre,Casco antitrueno,Lightning Helm
Armor_116_Upper,Túnica de los recuerdos,Tunic of Memories,Tunique des souvenirs,추억의 옷,思い出の服,Памятная туника,Hemd der Herinneringen,Tunica dei ricordi,Erinnerungsgewand,回忆服,回憶服,Tunique nostalgique,Túnica de los recuerdos,Tunic of Memories
Armor_1300_Head,Máscara del clan Yiga,Yiga Mask,Masque Yiga,이가단 마스크,イーガ団マスク,Маска клана Ига,Yiga-masker,Maschera Yiga,Yiga-Maske,依盖队面罩,依蓋隊面罩,Masque yiga,Máscara del clan Yiga,Yiga Mask
Armor_1300_Lower,Mallas del clan Yiga,Yiga Tights,Collants Yigas,이가단 타이츠,イーガ団タイツ,Трико клана Ига,Yiga-legging,Calzamaglia Yiga,Yiga-Hose,依盖队紧身裤,依蓋隊緊身褲,Collant yiga,Mallas del clan Yiga,Yiga Tights
Armor_1300_Upper,Túnica del clan Yiga,Yiga Armor,Uniforme Yiga,이가단 슈트,イーガ団スーツ,Доспехи клана Ига,Yiga-harnas,Tunica Yiga,Yiga-Anzug,依盖队紧身服,依蓋隊緊身服,Justaucorps yiga,Túnica del clan Yiga,Yiga Armor
Armor_141_Lower,Botas de nieve,Snow Boots,Bottes de neige,스노 부츠,スノーブーツ,Сапоги-снегоходы,Sneeuwlaarzen,Stivali da neve,Schneestiefel,雪地靴,雪地靴,Bottes de neige,Botas de nieve,Snow Boots
Armor_160_Head,Máscara oscura,Dark Hood,Capuche noire,다크 헤드,ダークヘッド,Колпак тьмы,Schaduwmuts,Cappuccio oscuro,Dunkelkapuze,黑暗头套,黑暗頭套,Capuche noire,Máscara oscura,Dark Hood
Armor_160_Lower,Pantalón oscuro,Dark Trousers,Pantalon noir,다크 레그,ダークレッグ,Штаны тьмы,Schaduwbroek,Pantaloni oscuri,Dunkelhose,黑暗裤子,黑暗褲子,Pantalon noir,Pantalón oscuro,Dark Trousers
Armor_160_Upper,Túnica oscura,Dark Tunic,Tunique noire,다크 바디,ダークボディ,Туника тьмы,Schaduwkostuum,Tunica oscura,Dunkelgewand,黑暗外衣,黑暗外衣,Tunique noire,Túnica oscura,Dark Tunic
Armor_171_Head,Casco de espectro,Phantom Helmet,Casque de Spectre,팬텀의 투구,ファントムの兜,Шлем фантома,Fantoomhelm,Elmo da Spettro,Phantom-Helm,幻影头盔,幻影頭盔,Casque de Spectre,Casco de espectro,Phantom Helmet
Armor_171_Lower,Grebas de espectro,Phantom Greaves,Jambières de Spectre,팬텀의 경갑,ファントムのすねあて,Поножи фантома,Fantoomscheenplaten,Gambali da Spettro,Phantom-Beinschutz,幻影护胫,幻影護脛,Jambières de Spectre,Grebas de espectro,Phantom Greaves
Armor_171_Upper,Armadura de espectro,Phantom Armor,Armure de Spectre,팬텀의 갑옷,ファントムの鎧,Доспехи фантома,Fantoompantser,Armatura da Spettro,Phantom-Rüstung,幻影铠甲,幻影鎧甲,Armure de Spectre,Armadura de espectro,Phantom Armor
Armor_172_Head,Máscara de Majora,Majora's Mask,Masque de Majora,무쥬라의 가면,ムジュラの仮面,Маска Маджоры,Majora's masker,Maschera di Majora,Majoras Maske,魔吉拉的面具,魔吉拉的面具,Masque de Majora,Máscara de Majora,Majora's Mask
Armor_173_Head,Casco de Midna,Midna's Helmet,Couronne de Midona,미드나의 투구,ミドナの冠,Шлем Мидны,Midna's helm,Elmo di Midna,Midnas Krone,米多娜的王冠,米多娜的王冠,Couronne de Midona,Casco de Midna,Midna's Helmet
Armor_174_Head,Gorro de Tingle,Tingle's Hood,Cagoule de Tingle,팅글의 두건,チンクルの頭巾,Шапка Тингла,Tingles kap,Cappuccio di Tingle,Tingles Kapuze,汀空的头巾,汀空的頭巾,Cagoule de Tingle,Gorro de Tingle,Tingle's Hood
Armor_174_Lower,Mallas de Tingle,Tingle's Tights,Chausses de Tingle,팅글의 바지,チンクルのズボン,Штаны Тингла,Tingles maillot,Calzamaglia di Tingle,Tingles Strumpfhose,汀空的裤子,汀空的褲子,Chausses de Tingle,Mallas de Tingle,Tingle's Tights
Armor_174_Upper,Camiseta de Tingle,Tingle's Shirt,Combinaison de Tingle,팅글의 옷,チンクルの服,Одеяние Тингла,Tingles hemd,Tunica di Tingle,Tingles Hemd,汀空的衣服,汀空的衣服,Combinaison de Tingle,Camiseta de Tingle,Tingle's Shirt
Armor_175_Upper,Camiseta de langosta,Island Lobster Shirt,Tunique bleue de homard,푸른 가재 셔츠,青いエビシャツ,Туника с омаром,Kreeftenhemd,Maglietta astice,Blaues Hummerhemd,蓝色大虾衬衫,藍色大蝦襯衫,Tunique bleue de homard,Camiseta de langosta,Island Lobster Shirt
Armor_176_Head,Máscara de kolog,Korok Mask,Masque de Korogu,코로그의 가면,コログのお面,Маска корока,Korok-masker,Maschera Korogu,Krog-Maske,克洛格的面具,克洛格的面具,Masque de Korogu,Máscara de kolog,Korok Mask
Armor_177_Head,Capucha de Ravio,Ravio's Hood,Capuche de Lavio,라비오의 후드,ラヴィオの頭巾,Капюшон Равио,Ravio's muts,Cappuccio di Lavio,Ravios Mütze,罗维奥的头巾,羅維奧的頭巾,Capuche de Lavio,Capucha de Ravio,Ravio's Hood
Armor_178_Head,Casco de Zant,Zant's Helmet,Casque de Xanto,젠트의 투구,ザントの兜,Шлем Занта,Zants helm,Elmo di Zant,Zantos Helm,藏特头盔,藏特頭盔,Casque de Xanto,Casco de Zant,Zant's Helmet
Armor_179_Head,Boina de guardia real,Royal Guard Cap,Béret de garde royal,근위병의 모자,近衛兵の帽子,Гвардейский берет,Lijfwachtbaret,Basco da guardia reale,Leibwache-Mütze,近卫兵的帽子,近衛兵的帽子,Béret de garde royal,Boina de guardia real,Royal Guard Cap
Armor_179_Lower,Botas de guardia real,Royal Guard Boots,Bottes de garde royal,근위병의 부츠,近衛兵のブーツ,Гвардейские сапоги,Lijfwachtlaarzen,Stivali da guardia reale,Leibwache-Stiefel,近卫兵的靴子,近衛兵的靴子,Bottes de garde royal,Botas de guardia real,Royal Guard Boots
Armor_179_Upper,Uniforme de guardia real,Royal Guard Uniform,Uniforme de garde royal,근위병의 옷,近衛兵の服,Гвардейский мундир,Lijfwachtuniform,Uniforme da guardia reale,Leibwache-Gewand,近卫兵的衣服,近衛兵的衣服,Uniforme de garde royal,Uniforme de guardia real,Royal Guard Uniform
Armor_180_Head,Casco del espíritu maligno,Evil Spirit Mask,Masque spectral,이차원악령의 투구,異次元悪霊の兜,Череп злого духа,Kwaadaardig masker,Maschera spirito del male,Unheilsreiter-Helm,异次元恶灵头盔,異次元惡靈頭盔,Masque spectral,Casco del espíritu maligno,Evil Spirit Mask
Armor_180_Lower,Botas del espíritu maligno,Evil Spirit Greaves,Grèves spectrales,이차원악령의 경갑,異次元悪霊のすねあて,Поножи злого духа,Kwaadaardige scheenplaten,Schinieri spirito del male,Unheilsreiter-Stiefel,异次元恶灵护胫,異次元惡靈護脛,Grèves spectrales,Botas del espíritu maligno,Evil Spirit Greaves
Armor_180_Upper,Cota del espíritu maligno,Evil Spirit Armor,Armure spectrale,이차원악령의 갑옷,異次元悪霊の鎧,Броня злого духа,Kwaadaardig pantser,Armatura spirito del male,Unheilsreiter-Rüstung,异次元恶灵铠甲,異次元惡靈鎧甲,Armure spectrale,Cota del espíritu maligno,Evil Spirit Armor
Armor_181_Head,Casco divino de Ruta,Vah Ruta Divine Helm,Heaume divin de Ruta,신수 병기·루타,神獣兵装・ルッタ,Шлем Ва-Руты,Vah Ruta-helm,Elmo sacro di Ruta,Ruta-Helm,神兽兵装·露塔,神獸兵裝‧露塔,Heaume divin de Ruta,Casco divino de Ruta,Vah Ruta Divine Helm
Armor_182_Head,Casco divino de Medoh,Vah Medoh Divine Helm,Heaume divin de Medoh,신수 병기·메도,神獣兵装・メドー,Шлем Ва-Медо,Vah Medoh-helm,Elmo sacro di Medoh,Medoh-Helm,神兽兵装·梅德,神獸兵裝‧梅德,Heaume divin de Medoh,Casco divino de Medoh,Vah Medoh Divine Helm
Armor_183_Head,Casco divino de Rudania,Vah Rudania Divine Helm,Heaume divin de Rudania,신수 병기·루다니아,神獣兵装・ルーダニア,Шлем Ва-Рудании,Vah Rudania-helm,Elmo sacro di Rudania,Rudania-Helm,神兽兵装·鲁达尼亚,神獸兵裝‧魯達尼亞,Heaume divin de Rudania,Casco divino de Rudania,Vah Rudania Divine Helm
Armor_184_Head,Casco divino de Naboris,Vah Naboris Divine Helm,Heaume divin de Naboris,신수 병기·나보리스,神獣兵装・ナボリス,Шлем Ва-Наборис,Vah Naboris-helm,Elmo sacro di Naboris,Naboris-Helm,神兽兵装·娜波力斯,神獸兵裝‧娜波力斯,Heaume divin de Naboris,Casco divino de Naboris,Vah Naboris Divine Helm
Armor_200_Head,Gorro del Tiempo,Cap of Time,Coiffe du temps,시간의 용사의 모자,時の勇者帽子,Колпак Героя Времени,Tijdmuts,Cappello eroe del tempo,Zeitmütze,时之勇者帽子,時之勇者帽子,Coiffe du temps,Gorro del Tiempo,Cap of Time
Armor_200_Lower,Pantalón del Tiempo,Trousers of Time,Chausses du temps,시간의 용사의 바지,時の勇者ズボン,Штаны Героя Времени,Tijdbroek,Pantaloni eroe del tempo,Zeithose,时之勇者裤子,時之勇者褲子,Chausses du temps,Pantalón del Tiempo,Trousers of Time
Armor_200_Upper,Túnica del Tiempo,Tunic of Time,Tunique du temps,시간의 용사의 옷,時の勇者服,Туника Героя Времени,Tijdkostuum,Tunica eroe del tempo,Zeitgewand,时之勇者服,時之勇者服,Tunique du temps,Túnica del Tiempo,Tunic of Time
Armor_205_Head,Gorro del Viento,Cap of the Wind,Coiffe du vent,바람의 용사의 모자,風の勇者帽子,Колпак Героя Ветра,Windmuts,Cappello eroe dei venti,Windmütze,风之勇者帽子,風之勇者帽子,Coiffe du vent,Gorro del Viento,Cap of the Wind
Armor_205_Lower,Pantalón del Viento,Trousers of the Wind,Chausses du vent,바람의 용사의 바지,風の勇者ズボン,Штаны Героя Ветра,Windbroek,Pantaloni eroe dei venti,Windhose,风之勇者裤子,風之勇者褲子,Chausses du vent,Pantalón del Viento,Trousers of the Wind
Armor_205_Upper,Túnica del Viento,Tunic of the Wind,Tunique du vent,바람의 용사의 옷,風の勇者服,Туника Героя Ветра,Windkostuum,Tunica eroe dei venti,Windgewand,风之勇者服,風之勇者服,Tunique du vent,Túnica del Viento,Tunic of the Wind
Armor_210_Head,Gorro del Crepúsculo,Cap of Twilight,Coiffe du Crépuscule,황혼의 용사의 모자,黄昏の勇者帽子,Колпак Героя Сумрака,Schemermuts,Cappello del crepuscolo,Schattenmütze,黄昏之勇者帽子,黃昏之勇者帽子,Coiffe du Crépuscule,Gorro del Crepúsculo,Cap of Twilight
Armor_210_Lower,Pantalón del Crepúsculo,Trousers of Twilight,Chausses du Crépuscule,황혼의 용사의 바지,黄昏の勇者ズボン,Штаны Героя Сумрака,Schemerbroek,Pantaloni del crepuscolo,Schattenhose,黄昏之勇者裤子,黃昏之勇者褲子,Chausses du Crépuscule,Pantalón del Crepúsculo,Trousers of Twilight
Armor_210_Upper,Túnica del Crepúsculo,Tunic of Twilight,Tunique du Crépuscule,황혼의 용사의 옷,黄昏の勇者服,Туника Героя Сумрака,Schemerkostuum,Tunica del crepuscolo,Schattengewand,黄昏之勇者服,黃昏之勇者服,Tunique du Crépuscule,Túnica del Crepúsculo,Tunic of Twilight
Armor_215_Head,Gorro de los Cielos,Cap of the Sky,Coiffe du ciel,하늘의 용사의 모자,大空の勇者帽子,Колпак Героя Небес,Hemelmuts,Cappello eroe del cielo,Himmelsmütze,天空之勇者帽子,天空之勇者帽子,Coiffe du ciel,Gorro de los Cielos,Cap of the Sky
Armor_215_Lower,Pantalón de los Cielos,Trousers of the Sky,Pantalon du ciel,하늘의 용사의 바지,大空の勇者ズボン,Штаны Героя Небес,Hemelbroek,Pantaloni eroe del cielo,Himmelshose,天空之勇者裤子,天空之勇者褲子,Pantalon du ciel,Pantalón de los Cielos,Trousers of the Sky
Armor_215_Upper,Túnica de los Cielos,Tunic of the Sky,Tunique du ciel,하늘의 용사의 옷,大空の勇者服,Туника Героя Небес,Hemelkostuum,Tunica eroe del cielo,Himmelsgewand,天空之勇者服,天空之勇者服,Tunique du ciel,Túnica de los Cielos,Tunic of the Sky
Armor_220_Head,Máscara de Sheik,Sheik's Mask,Masque de Sheik,시크의 마스크,シークのマスク,Маска Шиик,Sheiks masker,Maschera di Sheik,Shiek-Maske,希克面罩,希克面罩,Masque de Sheik,Máscara de Sheik,Sheik's Mask
Armor_225_Head,Máscara de la fiera deidad,Fierce Deity Mask,Masque du mauvais génie,귀신의 모자,鬼神帽子,Маска Лютобога,Fierce Deity-masker,Maschera furia divina,Grimmige-Gottheit-Mütze,鬼神帽子,鬼神帽子,Masque du Dieu démon,Máscara de la Deidad,Fierce Deity Mask
Armor_225_Lower,Botas de la fiera deidad,Fierce Deity Boots,Bottes du mauvais génie,귀신의 부츠,鬼神ブーツ,Сапоги Лютобога,Fierce Deity-laarzen,Stivali furia divina,Grimmige-Gottheit-Stiefel,鬼神靴,鬼神靴,Bottes du Dieu démon,Pantalón de la Deidad,Fierce Deity Boots
Armor_225_Upper,Cota de la fiera deidad,Fierce Deity Armor,Armure du mauvais génie,귀신의 옷,鬼神服,Доспехи Лютобога,Fierce Deity-harnas,Tunica furia divina,Grimmige-Gottheit-Panzer,鬼神服,鬼神服,Armure du Dieu démon,Armadura de la Deidad,Fierce Deity Armor
Armor_230_Head,Gorro del héroe,Cap of the Hero,Coiffe de l'Éveil,시작의 용사의 모자,始まりの勇者帽子,Колпак Героя Хайрула,Heldenmuts,Cappello delle origini,Ursprungsmütze,初始之勇者帽子,初始之勇者帽子,Coiffe du Prélude,Gorro del Preludio,Cap of the Hero
Armor_230_Lower,Pantalón del héroe,Trousers of the Hero,Culotte de l'Éveil,시작의 용사의 바지,始まりの勇者ズボン,Шорты Героя Хайрула,Heldenbroek,Pantaloni delle origini,Ursprungshose,初始之勇者裤子,初始之勇者褲子,Culotte du Prélude,Pantalón del Preludio,Trousers of the Hero
Armor_230_Upper,Túnica del héroe,Tunic of the Hero,Tunique de l'Éveil,시작의 용사의 옷,始まりの勇者服,Туника Героя Хайрула,Heldenkostuum,Tunica delle origini,Ursprungsgewand,初始之勇者服,初始之勇者服,Tunique du Prélude,Túnica del Preludio,Tunic of the Hero

Animal_Insect_A,Rana escurridiza,Hot-Footed Frog,Grenouille tempo,고고개구리,ゴーゴーガエル,Прыть-лягушка,Sprintkikker,Rana lesta,Spurtkröte,速速青蛙,速速青蛙,Grenouille tempo,Rana rauda,Hot-Footed Frog
Animal_Insect_AA,Escarabajo obrero,Energetic Rhino Beetle,Scarabée enduro,원기장수풍뎅이,ガンバリカブト,Бодрый жук,Krachtkever,Scarabeo aitante,Ausdauerkäfer,精力独角仙,精力獨角仙,Scarabée enduro,Escarabajo vigoroso,Energetic Rhino Beetle
Animal_Insect_AB,Mariposa chimenea,Smotherwing Butterfly,Papillon ignifus,방염호랑나비,ヒケシアゲハ,Пожарная бабочка,Doofvlinder,Farfalla ignifuga,Löschflügler,耐火凤蝶,耐火鳳蝶,Papillon ignifus,Mariposa ignífuga,Smotherwing Butterfly
Animal_Insect_AG,Rana escaladora,Sticky Frog,Grenouille adhésio,접착개구리,ハリツキガエル,Цепкая квакша,Kleefkikker,Rana scalatrice,Klammerkröte,贴贴青蛙,貼貼青蛙,Grenouille adhésio,Rana adherente,Sticky Frog
Animal_Insect_AH,Lagarto trepador,Sticky Lizard,Lézard adhésio,접착도마뱀,ハリツキトカゲ,Цепкая ящерица,Kleefhagedis,Lucertola scalatrice,Klammerechse,贴贴蜥蜴,貼貼蜥蜴,Lézard adhésio,Lagarto adherente,Sticky Lizard
Animal_Insect_AI,Luciérnaga de las tinieblas,Deep Firefly,Luciole de l'ombre,어둠반딧불이,ヤミホタル,Темнячок,Vale vuurvlieg,Lucciola d'ombra,Düsterwürmchen,暗萤火虫,闇螢火蟲,Luciole de l'ombre,Luciérnaga de las tinieblas,Deep Firefly
Animal_Insect_B,Rana duradera,Tireless Frog,Grenouille vigueur,활력개구리,ガッツガエル,Живучая лягушка,Boostkikker,Rana tosta,Fitkröte,毅力青蛙,毅力青蛙,Grenouille vigueur,Rana briosa,Tireless Frog
Animal_Insect_C,Libélula del frescor,Cold Darner,Libellule glagla,썰렁왕잠자리,ヒンヤリヤンマ,Морозная стрекоза,Sneeuwlibel,Libellula del gelo,Frostlibelle,冰冷蜻蜓,冰冷蜻蜓,Libellule glagla,Libélula gélida,Cold Darner
Animal_Insect_E,Luciérnaga del sosiego,Sunset Firefly,Luciole de la sérénité,고요반딧불이,シズカホタル,Тихий светлячок,Stiltevuurvlieg,Lucciola silente,Schleichwürmchen,静静萤火虫,靜靜螢火蟲,Luciole de la sérénité,Luciérnaga sigilosa,Sunset Firefly
Animal_Insect_F,Hada,Fairy,Fée,요정,妖精,Фея,Fee,Fata,Fee,妖精,妖精,Fée,Hada,Fairy
Animal_Insect_G,Escarabajo recio,Bladed Rhino Beetle,Scarabée lame,칼날장수풍뎅이,ツルギカブト,Клинковый жук,Zwaardneushoornkever,Scarabeo spadaccino,Schwertkäfer,大剑独角仙,大劍獨角仙,Scarabée lame,Escarabajo recio,Bladed Rhino Beetle
Animal_Insect_H,Grillo vagabundo,Restless Cricket,Sauterelle enduro,원기메뚜기,ガンバリバッタ,Бодрый сверчок,Energiesprinkhaan,Cavalletta vigor,Ausdauerschrecke,精力蚱蜢,精力蚱蜢,Sauterelle enduro,Grillo vigoroso,Restless Cricket
Animal_Insect_I,Libélula nimbo,Electric Darner,Libellule volt,찌릿찌릿왕잠자리,ビリビリヤンマ,Грозовая стрекоза,Schoklibel,Libellula saetta,Zitterlibelle,酥麻蜻蜓,酥麻蜻蜓,Libellule volt,Libélula electro,Electric Darner
Animal_Insect_M,Lagarto milvidas,Hearty Lizard,Lézard max,맥스도마뱀,マックストカゲ,Чудо-ящерица,Hartjeshagedis,Lucertola vivax,Maxi-Echse,生命蜥蜴,生命蜥蜴,Lézard max,Lagarto vivaz,Hearty Lizard
Animal_Insect_N,Mariposa invernal,Winterwing Butterfly,Papillon glagla,썰렁호랑나비,ヒンヤリアゲハ,Морозная бабочка,Sneeuwvlinder,Farfalla del gelo,Frostflügler,冰冷凤蝶,冰冷鳳蝶,Papillon glagla,Mariposa gélida,Winterwing Butterfly
Animal_Insect_P,Escarabajo pétreo,Rugged Rhino Beetle,Scarabée armo,갑옷장수풍뎅이,ヨロイカブト,Латный жук,Harnaskever,Scarabeo corazzato,Rüstungskäfer,铠甲独角仙,鎧甲獨角仙,Scarabée armo,Escarabajo robusto,Rugged Rhino Beetle
Animal_Insect_Q,Mariposa estival,Summerwing Butterfly,Papillon piment,따끈따끈호랑나비,ポカポカアゲハ,Жар-бабочка,Vlamvlinder,Farfalla del sole,Glutflügler,暖暖凤蝶,暖暖鳳蝶,Papillon piment,Mariposa ígnea,Summerwing Butterfly
Animal_Insect_R,Mariposa nubarrón,Thunderwing Butterfly,Papillon volt,찌릿찌릿호랑나비,ビリビリアゲハ,Грозовая бабочка,Bliksemvlinder,Farfalla saetta,Zitterflügler,酥麻凤蝶,酥麻鳳蝶,Papillon volt,Mariposa electro,Thunderwing Butterfly
Animal_Insect_S,Lagarto corretón,Hightail Lizard,Lézard tempo,고고도마뱀,ゴーゴートカゲ,Прыть-ящерица,Haasthagedis,Lucertola velox,Spurtechse,速速蜥蜴,速速蜥蜴,Lézard tempo,Lagarto raudo,Hightail Lizard
Animal_Insect_T,Libélula cálida,Warm Darner,Libellule piment,따끈따끈왕잠자리,ポカポカヤンマ,Жар-стрекоза,Vuurlibel,Libellula del sole,Glutlibelle,暖暖蜻蜓,暖暖蜻蜓,Libellule piment,Libélula ígnea,Warm Darner
Animal_Insect_X,Lagarto humero,Fireproof Lizard,Lézard ignifus,방염도마뱀,ヒケシトカゲ,Пожарная ящерица,Doofhagedis,Lucertola focus,Löschechse,耐火蜥蜴,耐火蜥蜴,Lézard ignifus,Lagarto ignífugo,Fireproof Lizard
BeeHome,Miel de abeja,Courser Bee Honey,Rayon de miel enduro,원기벌의 벌꿀,ガンバリバチのハチミツ,Мед бодрых пчел,Krachthoning,Miele di ape briosa,Ausdauerhonig,精力蜂的蜂蜜,精力蜂的蜂蜜,Rayon de miel enduro,Miel de vigor,Courser Bee Honey
BombFruit,Flor bomba,Bomb Flower,Fleur bombe,폭탄꽃,バクダン花,Бомбоцвет,Bombloem,Fiore bomba,Donnerblume,炸弹花,炸彈花,Fleur bombe,Flor bomba,Bomb Flower
ConfusionFruit,Flor aturdidora,Muddle Bud,Fleur de confusion,혼란꽃,コンラン花,Конфуксия,Verwarbloem,Fiore frastornante,Irrknospe,混乱花,混亂花,Fleur de confusion,Flor aturdidora,Muddle Bud
ElectricalFruit,Fruto eléctrico,Shock Fruit,Fruit de foudre,전기 열매,電気の実,Грозофрукт,Bliksemvrucht,Frutto elettrico,Elektrofrucht,电流果,電流果,Fruit de foudre,Fruto eléctrico,Shock Fruit
FireFruit,Fruto ígneo,Fire Fruit,Fruit de feu,화염의 열매,火炎の実,Огнефрукт,Vuurvrucht,Frutto igneo,Feuerfrucht,火焰果,火焰果,Fruit de feu,Fruto ígneo,Fire Fruit
FldObj_Pinecone_A_01,Piñón hyliano,Hylian Pine Cone,Pomme de pin d'Hyrule,하이랄솔방울,ハイラルボックリ,Хайрульская шишка,Hyrule-dennenappel,Pigna di Hyrule,Hyrule-Tannenzapfen,海拉鲁球果,海拉魯毬果,Pomme de pin d'Hyrule,Piña hyliana,Hylian Pine Cone
